day;reibekuchen;spiessbraten
05.05.21;1;0
12.05.21;1;0
19.05.21;1;0
26.05.21;1;0
02.06.21;1;0
09.06.21;1;0
16.06.21;1;0
23.06.21;1;0
30.06.21;1;0
07.07.21;1;0
14.07.21;1;0
21.07.21;1;0
28.07.21;1;0
04.08.21;1;0
11.08.21;1;0
18.08.21;1;0
25.08.21;1;0
01.09.21;1;0
08.09.21;1;0
15.09.21;1;0
22.09.21;1;0
29.09.21;1;0
06.10.21;1;0
13.10.21;1;0
20.10.21;1;0
27.10.21;1;0
03.11.21;1;0
10.11.21;1;0
17.11.21;1;0
24.11.21;1;0
01.12.21;1;0
08.12.21;1;0
15.12.21;1;0
22.12.21;1;0
29.12.21;1;0
07.05.21;0;1
14.05.21;0;1
21.05.21;0;1
28.05.21;0;1
04.06.21;0;1
11.06.21;0;1
18.06.21;0;1
25.06.21;0;1
02.07.21;0;1
09.07.21;0;1
16.07.21;0;1
23.07.21;0;1
30.07.21;0;1
06.08.21;0;1
13.08.21;0;1
20.08.21;0;1
27.08.21;0;1
03.09.21;0;1
10.09.21;0;1
17.09.21;0;1
24.09.21;0;1
01.10.21;0;1
08.10.21;0;1
15.10.21;0;1
22.10.21;0;1
29.10.21;0;1
05.11.21;0;1
12.11.21;0;1
19.11.21;0;1
26.11.21;0;1
03.12.21;0;1
10.12.21;0;1
17.12.21;0;1
24.12.21;0;1
31.12.21;0;1